id,model,storage,price_thb,battery_health,post_url,images_count,content
15,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/39109497878640985/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 4 วัน · รับเทิร์นเครื่อง พร้อมส่งค่ะ +56 แสดงความคิดเห็นในชื่อ รัชชานนท์
16,iPhone 13promax,128GB,14990,76%,https://www.facebook.com/groups/1362848747066038/posts/39099725012951605/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 วัน · ขาย iPhone 13promax สี gold 14,990 ลดได้ 14,590 เครื่องศูนย์ไทย 128gb เบต้า76% สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +4 ฿14,590 · ราชบุรี, ประเทศไทย 13 pro max ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
17,iPhone 13promax,128GB,14990,70%,https://www.facebook.com/groups/1362848747066038/posts/39099697079621065/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 วัน · ขาย iPhone 13promax สี กาไฟท์ 14,990 ลดได้ 14,590 เครื่องศูนย์ไทย 128gb เบต้า70% เครื่องเปลี่ยนจอแท้มา ครบกล่อง สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +5 ฿14,590 · ราชบุรี, ประเทศไทย 13 pro max ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
18,iPhone 13,128GB,9990,78%,https://www.facebook.com/groups/1362848747066038/posts/39099684929622280/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 วัน · ขาย iPhone 13 สี white 9,990 ลดได้ 9,590 เครื่องศูนย์ไทย 128gb เบต้า 78% เปลี่ยนจอแท้มา ครบกล่อง สภาพดี สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติค่ะ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +5 ฿9,590 · ราชบุรี, ประเทศไทย iPhone 13 ข้อความ แสดงความคิดเห็นในชื่อ รัชชานนท์"
19,iPhone 13promax,128GB,11990,79%,https://www.facebook.com/groups/1362848747066038/posts/39077665465157560/,5,"Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 วัน · ขาย iPhone 13promax สี กาไฟท์ 11,990 ลดได้11,590 LL 128gb เบต้า 79%เครื่องเปลี่ยนจอมา สแกนหน้าได้ ใช้งานปกติทุกอย่าง ใส่ซิมได้ทุกเครือข่าย ล้างเครื่องได้ปกติ พิกัดนัดรับ นครปฐม หรือวิ่งส่งได้ไม่เกิน100โลจากนครปฐมค่ะ กรณีส่งถึงมือมัดจำ 300 บาทกันลูกค้ายกเลิกระหว่างทางไปส่งหากไม่สะดวกมัดจำมารับเองจ้า ดูน้อยลง +4 ฿11,590 · ราชบุรี, ประเทศไทย (ขายแล้ว) 13 pro max แสดงความคิดเห็นในชื่อ รัชชานนท์"
20,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/39059994276924679/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 6 วัน · ถามได้น้า +12 แสดงความคิดเห็นในชื่อ รัชชานนท์
21,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/38962040656720042/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 5 สิงหาคม เวลา 19:29 น. · พร้อมส่งนะคะรับซื้อรับเทิร์นจ้า +34 แสดงความคิดเห็นในชื่อ รัชชานนท์
22,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/38893273063596802/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 สิงหาคม เวลา 19:45 น. · สอบถามได้ค่ะรับเทิร์นพร้อมส่ง +23 1 แสดงความคิดเห็นในชื่อ รัชชานนท์
23,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/38837856009138508/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 31 กรกฎาคม เวลา 08:55 น. · พร้อม ส่งน้า ถามได้ค่ะ +33 แสดงความคิดเห็นในชื่อ รัชชานนท์
24,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/38803095862614523/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 29 กรกฎาคม เวลา 20:19 น. · พร้อมส่งค่ะสอบถามได้ค่ะรับเทิร์นเครื่องด้วย +56 แสดงความคิดเห็นในชื่อ รัชชานนท์
25,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/38777665045157605/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 29 กรกฎาคม เวลา 07:33 น. · มีสินค้ามากกว่าในโพสต์สอบถามทักแชทได้เลยค่ะรับเทินด้วยนะคะพร้อมส่ง +23 แสดงความคิดเห็นในชื่อ รัชชานนท์
26,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/38772742822316494/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 28 กรกฎาคม เวลา 13:23 น. · สอบถามได้ค่ะพร้อมส่ง +41 1 แสดงความคิดเห็นในชื่อ รัชชานนท์
27,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/38755663170691126/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 27 กรกฎาคม เวลา 19:49 น. · พร้อมส่งค่ะรับเทิร์นเครื่อง ส่งฟรี +41 แสดงความคิดเห็นในชื่อ รัชชานนท์
28,โทรศัพท์มือสอง,-,-,-,https://www.facebook.com/groups/1362848747066038/posts/38750646404526136/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 27 กรกฎาคม เวลา 14:15 น. · พร้อมส่งจ้าาาาา +43 แสดงความคิดเห็นในชื่อ รัชชานนท์
